Example Bank - Checking Statement
Account: Checking ****4821 | Owner: A. CUSTOMER
"Statement Period: 01/01/2025 - 03/31/2025   Opening Balance: 1,000.00"
Date,Particulars,Ref #,Deposit,Withdrawal,Balance
01/05/2025,ACH PAYROLL ACME CORP,1001,2500.00,,3500.00
01/12/2025,NETFLIX.COM,1002,,15.49,3484.51
01/20/2025,RENT - UNIT 4B,1003,,1200.00,2284.51
02/02/2025,ACH PAYROLL ACME CORP,2001,2500.00,,4784.51
02/14/2025,CLOUDFLARE SERVICES,2002,,820.00,3964.51
02/28/2025,SERVICE CHARGE,2003,,12.00,3952.51
03/07/2025,ACH PAYROLL ACME CORP,3001,2500.00,,6452.51
03/15/2025,CAFE ROAST,3002,,6.50,6446.01
03/31/2025,INTEREST EARNED,3003,4.10,,6450.11
"Closing Balance: 6,450.11"
